Region,ISO_code,Cname,Vaccine,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
EUR,ROU,Romania,Hib3,92,92,92,92,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,RUS,Russian Federation (the),Hib3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,RWA,Rwanda,Hib3,98,98,98,98,97,97,97,97,97,99,95,89,96,88,,,,,,,,,,,,,,,,,,,,,,
AMR,KNA,Saint Kitts and Nevis,Hib3,94,98,97,98,98,96,97,97,99,99,99,95,99,95,99,12,,,,,,,,,,,,,,,,,,,,
AMR,LCA,Saint Lucia,Hib3,99,99,99,98,99,97,95,96,99,85,95,91,84,14,,,,,,,,,,,,,,,,,,,,,,
AMR,VCT,Saint Vincent and the Grenadines,Hib3,98,98,98,97,96,99,99,99,99,99,99,99,27,,,,,,,,,,,,,,,,,,,,,,,
WPR,WSM,Samoa,Hib3,59,56,60,64,56,52,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,SMR,San Marino,Hib3,79,79,69,96,85,78,92,87,92,95,94,98,96,95,93,92,95,92,88,84,80,76,72,69,65,,,,,,,,,,,
AFR,STP,Sao Tome and Principe,Hib3,96,95,97,96,96,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMR,SAU,Saudi Arabia,Hib3,98,98,98,98,98,98,98,98,96,96,96,96,95,95,,,,,,,,,,,,,,,,,,,,,,
AFR,SEN,Senegal,Hib3,89,89,92,91,92,89,86,88,94,89,18,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,SRB,Serbia,Hib3,95,94,92,90,93,91,94,98,89,42,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,SYC,Seychelles,Hib3,97,99,98,98,99,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,SLE,Sierra Leone,Hib3,86,83,92,91,89,86,84,77,63,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPR,SGP,Singapore,Hib3,85,85,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,SVK,Slovakia,Hib3,96,97,98,99,99,99,99,99,99,99,99,99,99,92,70,59,47,36,30,3,,,,,,,,,,,,,,,,
EUR,SVN,Slovenia,Hib3,95,95,95,96,96,96,96,97,97,97,95,94,95,93,93,,,,,,,,,,,,,,,,,,,,,
WPR,SLB,Solomon Islands,Hib3,98,88,94,99,99,90,92,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMR,SOM,Somalia,Hib3,42,42,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,ZAF,South Africa,Hib3,69,70,65,68,72,66,70,73,72,74,72,64,69,70,71,73,,,,,,,,,,,,,,,,,,,,
AFR,SSD,South Sudan,Hib3,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,ESP,Spain,Hib3,97,96,96,97,97,97,96,97,96,98,96,97,98,97,96,92,82,82,,,,,,,,,,,,,,,,,,
